Ovary_1	Ovary_2	Ovary_3	Testis_1	Testis_2	Testis_3
1852	1456	951	370	413	397
1095	977	733	78	92	106
62	108	74	9	16	28
511	249	308	21	33	20
235	52	47	24	21	20
11	4	2	32	8	7
86	133	75	58	67	38
1	0	1	2	2	0
89	71	40	9	7	16
39	42	27	25	15	23
51	40	20	20	13	9
366	509	201	73	113	62
178	208	125	172	156	154
49	55	35	16	26	11
60	118	43	144	394	188
97	131	58	117	142	108
444	433	219	612	943	1003
33	11	14	6	11	9
221	90	80	28	35	53
2091	2339	1418	487	630	545
3826	3141	1784	615	788	670
2554	2415	1379	2860	3312	2255
2395	2350	1231	1432	1678	1750
532	390	65	73	129	81
119	589	229	170	59	101
2611	2474	1946	478	576	512
1804	1681	1001	1055	976	903
38	31	49	37	52	25
34	11	21	33	27	25
295	237	175	89	69	72
1215	1443	1106	148	130	90
0	1	0	0	0	0
0	0	0	0	0	0
52	95	15	3	11	4
4	21	1	0	10	2
7	15	5	14	10	5
0	0	0	0	0	0
267	308	172	120	158	150
3263	3726	2064	1725	2363	2098
119	105	64	21	27	18
125	108	116	21	29	29
5	6	6	14	10	4
111	156	139	31	55	36
676	588	488	9311	10697	8425
1084	942	505	962	973	795
16	7	12	202	230	167
4	8	8	37	35	48
1137	1176	931	41972	46582	69499
14	8	31	57	75	101
211	2571	196	100	84	91
1167	752	534	410	660	429
314	217	230	301	300	390
964	848	520	362	559	677
443	243	177	729	1053	905
327	297	246	186	228	274
7828	7259	3933	1357	1429	1221
0	0	2	31	8	19
126	186	85	16	17	23
0	0	0	7	6	2
0	0	0	309	304	64
0	0	0	3	3	1
1	1	0	8	5	2
2298	2595	1348	127	242	113
580	457	234	1226	1370	1031
1307	1226	757	707	583	738
2	10	2	3	17	10
82	95	74	2	3	3
0	3	5	0	0	0
157	99	149	4	53	15
0	0	0	0	0	0
1118	920	516	254	325	258
6993	4230	3395	438	547	489
81	52	20	30	27	32
4500	4342	2620	5513	9708	5321
19	50	20	4195	5266	3961
739	763	410	167	223	176
0	0	0	7	5	11
0	0	0	3	3	4
1	0	0	16	40	17
1555	1584	745	2296	2521	1781
3	1	2	1	3	1
9	12	5	9	8	23
9	3	0	4	5	8
4592	3956	2990	4410	2593	5902
921	685	572	840	531	1048
2016	1379	892	350	419	313
35	25	11	21	21	17
178	125	62	149	257	252
39	30	17	76	75	68
26	65	42	6	85	6
3878	3455	1833	540	889	614
7	1	0	0	0	4
1980	1778	1206	166	259	227
3	0	0	0	0	0
317	162	120	41	77	82
22	10	4	1	6	4
1254	1054	576	63	90	88
273	264	164	4535	4486	2782
804	667	475	194	265	356
631	548	650	628	666	474
7	5	3	1	4	5
571	420	271	55	73	56
1755	1614	862	729	782	730
4	3	1	1	1	2
2	5	1	5	5	12
1	6	1	87	37	73
4	19	11	70	20	59
8	7	3	55	30	44
0	0	0	89	151	81
0	0	1	188	222	170
0	0	0	256	72	141
1	0	1	99	244	122
0	0	0	0	3	14
515	540	339	249	351	310
973	875	604	445	586	507
2262	2414	1209	1271	1632	1479
21	6	17	212	334	298
116	159	63	2	2	2
0	0	0	0	0	0
75	132	63	104	78	474
2	0	0	53	68	28
914	809	515	405	336	269
6	9	5	11	11	10
0	0	1	0	5	1
0	0	0	0	34	0
0	4	0	0	0	0
4	64	3	0	0	0
246	248	156	42	29	24
0	4	0	2	1	0
3425	2769	1722	8647	9160	6707
263	224	224	5	9	9
12	6	13	6	15	7
1127	1140	585	454	530	370
1127	1056	509	956	1776	1384
2461	2591	1518	92	92	98
5337	5458	4250	1086	1446	1269
21	29	13	15	7	9
157	185	86	166	275	197
995	927	466	846	1346	821
0	1	1	0	0	1
29	113	18	6	1	1
22	38	9	5	1	1
2	8	3	0	0	1
114	313	127	1076	1191	1106
739	780	390	861	912	768
13	4	0	6	9	9
463	285	283	141	224	157
17	64	21	1	1	2
1	0	1	3	3	2
0	1	0	99	95	74
1496	1573	902	1731	2107	1734
13	23	5	1	3	0
14	21	11	7	2	2
0	0	0	1	0	0
0	1	0	1	6	4
0	3	0	4	20	8
1	1	0	2	3	0
0	0	0	0	6	4
5	5	1	2062	927	930
1597	1509	752	1986	2367	1515
771	635	350	330	333	243
364	752	291	2	5	4
1738	1682	1037	2347	2148	1664
3946	4093	2174	6346	8386	7059
16	8	2	12	14	7
0	0	1	1	1	0
861	997	602	211	844	436
1	0	0	0	0	0
634	678	259	977	1556	1196
1868	2169	1286	516	619	624
175	139	135	337	490	525
163	106	90	300	425	395
531	382	314	767	1110	1081
964	559	1367	8	7	26
8	3	9	2	1	5
236	190	304	0	0	4
1	4	4	14	15	27
1720	1899	1263	153	242	194
875	1126	718	3265	3635	2021
2082	2089	1350	2055	2346	1904
43	25	8	6	6	7
1413	1572	818	15	17	25
6442	6156	3917	1546	1634	1448
866	585	430	126	147	117
353	355	171	225	331	355
2	0	0	0	1	1
5	20	29	10	9	7
0	0	1	0	0	0
0	0	0	0	0	3
3	7	1	290	306	110
66	76	22	439	447	208
3	4	2	15	38	8
3718	3270	1590	7016	8251	7807
1549	1629	919	2663	3154	2771
0	4	3	0	0	0
0	1	0	0	0	0
1	0	0	85	120	70
478	543	277	85	105	98
0	0	0	12	28	10
0	0	0	0	100	0
0	0	1	2	96	1
0	1	0	0	2	1
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	1	0
2	2	1	6	3	4
2	2	2	13	32	46
0	0	0	55	58	61
272	294	178	48	53	75
3	5	3	10	4	6
303	287	167	372	276	443
438	593	246	5324	6231	4601
1419	1255	730	767	990	786
0	1	0	3	3	2
1463	1245	875	211	262	243
0	0	0	0	3	2
0	0	1	1	23	22
1	3	0	2	7	3
0	0	0	0	0	0
63	76	58	4	7	5
3114	3357	2210	131	238	146
8316	7613	5682	563	978	562
2337	2303	1439	2882	3527	2578
1	0	0	52	38	39
7349	7266	4267	3593	4614	3532
2589	2897	1336	1052	956	933
1412	1385	1055	1012	1749	1140
9	9	1	11	35	21
33	17	13	8	32	20
366	297	180	1243	1952	1239
7269	6483	4572	11061	9334	9527
0	0	0	3	3	1
1341	1625	1146	1209	1200	797
1818	1340	824	327	511	434
491	592	213	217	331	227
0	0	1	1	11	6
0	0	0	0	0	0
1525	1774	1006	205	477	360
4310	4210	2127	5409	7273	5767
583	491	259	958	1116	724
26	267	98	21	34	32
155	181	108	121	147	116
10	2	3	9325	12905	12478
280	198	137	31	51	21
2206	2150	1113	689	737	587
29	14	30	336	462	395
161	101	131	109	240	202
131	64	17	193	267	208
1133	1383	544	904	1000	788
5134	5820	2706	13194	17687	14193
2121	2225	940	1681	2451	1641
943	989	551	516	506	475
2048	1702	1108	768	1003	884
260	233	120	224	237	199
467	269	95	884	835	729
158	246	71	9	19	11
116	162	53	1	3	3
50	36	39	41	11	16
39	58	34	36	32	22
2	0	0	8	3	0
116	109	75	117	205	86
569	412	202	463	747	590
297	97	61	5146	6034	4141
71	74	21	85	80	53
3221	3092	1717	4563	6906	4637
3512	2896	1641	617	562	503
0	0	0	0	0	0
3	0	4	1	8	1
7	1	2	2	4	7
474	453	307	135	303	280
3	1	3	356	372	287
3	8	2	40	30	24
62	32	23	6569	5410	4943
0	0	0	3	26	3
1698	2292	767	549	578	506
128	60	27	5483	5675	4551
331	304	173	624	661	437
777	689	366	235	201	160
1	2	0	4	11	1
6	5	10	2	0	1
1098	915	605	3079	2580	2316
1307	1094	619	1569	1886	1266
29	24	20	9	10	3
0	0	0	0	0	0
53	58	57	0	2	0
71	66	21	355	299	274
26	57	14	199	271	187
448	553	182	208	184	159
6	7	1	28	41	37
0	0	0	0	0	0
450	430	261	131	199	147
270	263	147	170	270	186
383	457	312	327	373	349
19	6	11	24	32	12
491	202	150	16	34	6
589	487	242	18	51	20
626	449	310	30	64	26
585	375	249	58	103	51
167	164	143	64	58	67
443	488	290	839	1026	746
109	80	56	109	126	75
144	117	66	175	224	90
19586	17640	11738	1185	1550	814
540	441	294	259	258	208
795	541	480	2101	1429	1236
2017	1485	974	229	329	223
2	1	2	0	5	0
123	85	44	195	854	169
2	1	0	0	0	0
750	665	336	1256	1691	1341
2028	1917	1873	73	55	58
0	58	37	20	0	13
938	743	539	603	585	654
1239	1321	812	1892	3016	1983
438	538	245	266	160	277
116	99	49	1228	650	943
35	39	24	346	193	382
1	5	2	30	33	22
2402	2349	1281	2426	2801	2233
277	347	208	98	109	69
608	885	488	236	270	199
275	237	134	140	250	114
155	157	100	705	1038	740
3462	2945	1462	2913	3769	2571
138	221	94	1978	1950	1928
1657	1475	833	760	924	711
14	15	12	19	26	44
0	0	0	0	3	11
7	19	7	54	95	42
1	7	1	112	107	61
175	248	96	46	53	32
160	213	119	70	143	100
97	174	57	3700	4874	3526
5	3	2	53	84	71
1284	1388	543	1134	1338	874
379	463	187	138	146	92
1499	1554	747	306	375	373
613	710	552	62	88	77
1751	1621	991	174	184	175
29	41	11	8	12	7
3244	3517	2009	929	1179	906
4183	3008	2098	573	1743	1529
1	1	4	828	1568	1264
2355	3162	1417	2548	2907	2245
823	987	546	1354	1491	1221
514	460	235	222	289	281
110	186	94	99	364	236
1748	1742	885	2694	3373	2738
475	586	325	228	283	191
323	208	96	4219	5606	4276
461	441	218	512	627	394
214	189	142	128	162	125
1491	231	150	45	48	20
1	1	0	22	76	53
1208	1495	736	287	476	381
0	0	0	59	66	55
10	15	10	157	195	115
13802	13550	5674	790	1000	894
82	77	46	81	116	61
2	0	0	0	1	1
1533	1382	663	384	447	366
0	0	0	0	0	0
34761	24856	21858	243	412	519
900	1008	718	183	254	182
1438	1265	900	281	283	218
453	331	205	2032	2863	1701
211	203	175	1132	967	862
7	2	1	11	2	11
1712	2425	2210	57	33	53
0	0	0	8	196	37
0	0	1	315	743	495
35	90	21	3108	4166	3111
1295	1413	684	346	348	329
0	0	0	11	9	18
1	1	0	30	10	10
1539	1259	663	771	987	705
0	0	0	16	16	15
2	2	0	12	5	0
52	83	53	6	5	4
0	0	0	0	0	0
8	8	4	19	11	11
270	196	125	110	110	94
0	1	0	2	1	0
53	30	9	0	0	1
389	352	187	637	480	461
783	619	406	556	792	644
73	25	42	315	350	305
802	1099	602	736	810	784
765	622	316	619	707	589
814	926	420	4526	4465	3429
273	221	120	171	280	270
683	995	367	5855	6586	3692
22	24	4	5	4	2
34	0	2	9	3	12
2	3	1	5	4	3
0	0	0	1	0	2
0	0	0	1	47	21
2720	2416	1267	3673	5288	3774
1237	1404	802	677	954	603
731	553	187	160	179	117
93	56	36	25	24	15
14	8	13	33	26	14
1421	1632	856	359	366	274
41	58	21	0	3	1
39	33	39	2	12	1
16	10	4	7	14	3
932	567	399	64	353	200
758	599	468	121	114	93
0	4	0	66	65	51
9	16	19	1708	764	2249
2	1	0	3	0	2
2	0	0	10	15	87
0	0	0	3	14	17
0	0	0	37	74	16
0	0	0	10	15	4
331	293	125	71	103	81
144	216	115	25	6	26
141	112	45	21	24	23
313	185	127	20	39	25
0	1	0	0	0	1
0	0	0	0	0	0
0	0	0	0	1	0
194	310	133	205	192	116
66	133	54	28	9	78
24	15	12	2543	2629	1824
1057	1035	571	231	291	250
2727	2839	1300	3929	4918	3976
62	153	43	14	4	6
2210	2480	1141	81	221	123
1	2	1	6	3	0
1	6	2	2	3	1
1	2	0	1	6	1
888	885	454	156	206	149
0	2	0	3	0	0
1508	1551	853	696	880	674
3	4	2	24	21	25
1	1	0	15	11	10
405	391	107	220	224	120
151	140	40	1	3	0
2	1	0	2	1	1
0	0	0	0	0	0
393	279	183	140	115	96
8	18	5	19	15	3
6	0	0	2	2	1
248	14	4	2	144	1
698	1642	814	893	773	913
132	608	105	441	78	466
0	0	0	0	4	2
3	1	0	9	11	7
0	0	0	7	16	4
0	1	0	5	4	1
14	11	11	0	0	1
540	594	258	286	355	248
5	1	1	0	0	1
428	465	179	315	427	311
1090	1449	673	1114	1468	1192
2012	1975	961	160	171	168
2	2	1	1	2	10
0	0	1	2	8	4
17	14	5	3	2	2
942	1057	577	222	213	175
10	17	5	1	9	7
2612	3056	1562	4141	3416	3717
3782	4624	2571	533	755	557
231	316	152	8185	9864	6337
2299	3535	2475	115	206	101
507	475	337	427	412	340
563	534	395	24	28	27
0	3	1	1	1	0
2780	2941	1644	1748	2260	1689
490	572	324	337	355	373
190	198	106	253	366	283
0	5	1	870	1359	1156
1012	1161	529	8949	10539	9207
25	48	4	11	229	10
0	3	1	4	88	1
181	200	118	6606	8498	6497
1081	1040	360	285	346	214
259	300	233	894	1138	418
17	19	18	100	166	140
2802	2396	1428	942	1074	904
1	0	2	2175	2509	1869
2	5	1	9	3	1
0	0	0	7	12	6
0	0	0	11	11	6
8	3	1	16	44	13
10423	10286	5109	8447	10442	9131
2260	2171	996	740	1104	814
1238	952	588	20	25	24
1	0	0	0	4	0
1418	1139	591	660	844	436
0	0	1	0	0	0
29	15	12	0	3	1
12	5	15	1	0	0
101	76	54	0	1	1
689	461	381	5	10	9
168	138	88	2	5	3
268	246	201	2	6	5
131	146	81	2	4	3
527	448	353	4	16	9
250	220	151	5	11	5
7	13	4	0	1	0
426	336	177	31	17	6
8	11	1	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
3	2	0	2	1	1
0	1	0	0	0	0
0	0	0	0	0	0
0	0	0	5	14	1
0	1	0	0	0	1
0	0	0	0	7	1
1	0	0	0	0	0
0	0	0	2	0	0
0	0	0	1	1	0
732	649	499	326	448	283
4473	4110	2081	4351	5778	2413
527	405	234	444	672	163
0	1	0	1	1	0
10	7	1	48	51	44
0	0	0	0	0	0
32	48	20	90	92	23
125	117	53	20	26	16
752	742	374	88	111	44
15	25	8	1	1	3
0	0	0	0	0	0
53	51	26	16	10	7
331	284	178	82	67	63
431	580	494	359	383	418
480	412	256	110	110	147
633	576	314	1143	1788	1389
5	5	1	30	23	24
305	253	204	528	807	617
183	159	78	2433	3458	2480
668	597	390	447	527	432
242	276	154	320	185	282
134	125	83	199	242	228
785	678	380	978	1059	911
606	593	335	625	703	601
1565	1435	1005	3585	4585	3345
0	1	0	3	3	2
569	791	169	146	156	120
942	840	517	904	913	697
226	264	91	132	102	71
25	22	9	11	7	3
2	3	0	0	0	0
1	0	0	4	11	1
0	2	0	0	2	1
0	0	0	0	0	0
2	0	1	40	22	56
0	1	0	7	10	7
33	30	15	4643	5045	4923
1188	1145	694	522	597	529
14	12	14	1427	1852	1219
2469	2524	1436	1672	1720	1986
2798	2296	1382	1054	1729	1145
1	0	0	43	60	16
0	0	0	0	4	1
95	103	84	31	56	28
0	0	0	4	0	2
0	0	0	0	0	0
0	1	0	0	0	0
105	88	46	45	42	38
42	43	20	36	33	12
0	1	0	0	2	0
617	646	330	1670	1856	1366
339	226	138	469	447	213
8644	7802	4662	5950	6000	4350
1126	1158	959	383	417	430
174	127	121	50	52	69
3	1	4	2	2	0
0	0	0	5	10	4
0	0	0	0	0	0
2	10	0	12	15	8
0	5	1	2	3	3
175	124	109	176	200	124
0	0	0	0	1	1
3121	3184	1753	1829	2076	1549
571	530	350	450	356	399
179	166	133	129	100	98
3	6	6	3	7	2
0	0	0	10	0	0
23	74	16	11	8	4
0	2	0	4	2	0
0	0	1	0	1	0
144	41	60	506	1217	604
1036	1065	695	372	614	303
0	1	2	7	8	4
2242	1999	1632	20	16	13
449	455	200	140	133	86
1906	1857	963	361	403	351
273	224	156	341	186	193
0	0	0	1	0	0
2	0	2	1	5	1
1047	715	795	31	67	36
44	18	11	141	411	186
1	0	1	6	16	9
4879	5148	2745	1979	2833	2312
1587	1729	893	3773	5278	3705
564	565	358	458	522	457
22	64	27	25	45	17
242	244	157	23	18	7
152	177	83	13	16	9
106	43	53	3	3	1
3127	2952	1530	12659	15964	11469
3598	3351	2124	1316	1846	1259
289	311	96	97	195	129
1581	1376	776	1005	1343	1027
146	353	89	4736	6231	5085
66	102	22	185	232	239
0	0	0	4	4	0
363	384	190	426	555	319
734	690	370	381	453	398
425	455	266	227	311	214
297	235	135	187	273	211
23	4	6	3	3	4
9482	9129	5354	3078	3467	2971
8	10	8	13	15	17
0	1	0	1	1	0
730	528	312	124	128	163
816	717	373	212	207	169
883	853	583	2979	4112	2944
3	1	0	10	3	5
650	625	447	173	175	217
626	552	360	295	334	290
1071	811	505	624	919	672
1022	821	481	587	821	538
968	975	578	420	536	348
274	310	180	472	573	584
0	0	2	8	5	3
0	1	7	5	6	2
0	0	1	3	2	4
0	1	3	16	6	5
2486	2474	1421	852	806	800
19	11	6	101	163	131
4051	4128	2163	1267	1335	1379
190	127	80	141	187	164
29	45	14	45	47	45
848	851	529	291	285	265
318	295	103	159	321	441
9	2	2	24	30	29
11	29	17	13	25	26
7666	9107	4144	4166	5395	5134
606	548	331	933	1057	753
763	432	302	22	45	67
859	676	330	287	360	248
569	555	365	128	142	343
1	0	0	1	1	10
3	16	2	5	11	14
0	2	1	2	3	1
0	1	0	31	25	17
1806	1768	1047	2902	3566	2701
1827	2060	1242	2126	2283	1613
9	7	5	4	11	1
312	219	60	30	40	16
4	2	2	13	26	11
7	1	0	4	6	5
2582	2069	1060	758	923	671
1	1	0	6	14	11
1130	970	654	24819	26448	21884
2	3	1	38	29	40
1606	1632	693	1400	1267	1234
4064	4217	2224	549	486	478
469	357	204	144	178	138
868	829	464	804	1679	732
31	37	21	24	18	26
90	71	53	125	143	172
1237	903	557	45	98	45
724	588	287	194	278	187
1070	1070	657	372	429	238
722	688	668	122	187	120
151	214	103	66	50	92
2562	2128	1051	2853	3155	2765
235	167	87	91	118	79
0	0	0	20	57	21
0	0	0	7	4	10
0	0	0	0	0	0
2	0	0	2	0	4
1	1	0	7	11	7
10797	9383	4970	1661	2218	1792
1163	1078	552	3524	4228	3478
3631	3482	2067	2511	5283	2653
112	120	24	3	5	4
2032	1802	901	1581	2172	1849
5	4	1	16	14	18
715	488	265	256	292	243
62	26	17	16	32	21
1	4	1	1	4	2
0	1	0	3	1	2
7	0	0	26	25	28
14319	13504	8964	11521	11166	8208
4	6	7	1	3	6
0	9	1	2	0	1
1141	1310	612	428	687	480
5	7	8	94	78	61
50	39	13	44	40	54
11	3	2	6	8	8
626	746	391	193	186	219
174	316	161	67	142	89
2	2	1	0	0	1
1521	1790	918	595	571	569
7	5	11	188	187	125
493	662	322	440	508	388
1280	1875	804	521	672	516
3370	4168	2231	1357	1700	1397
3909	4656	2276	1103	1216	1275
0	1	0	17	12	14
0	0	0	11	15	4
0	0	0	1	0	3
0	0	0	1	3	1
0	0	0	20	16	15
115	137	82	416	264	199
0	0	0	1	1	2
48	86	29	28	41	18
0	0	0	23	33	15
1	2	0	337	139	248
675	1015	463	90	98	101
4	3	1	1	5	9
11344	8537	7273	1368	1672	1474
1452	1424	944	949	1437	1175
1187	1123	589	349	294	289
489	926	329	472	460	405
146	283	102	59	81	85
2	2	2	2601	2866	1867
0	0	0	3	7	0
10	13	11	4	20	7
3	1	0	1	9	2
559	586	332	508	469	524
2	24	7	4	2	5
441	516	249	422	378	481
118	156	28	16	33	22
2755	2892	1602	9024	9196	9464
7272	7458	3430	438	690	675
154	126	71	56	88	65
1	0	0	0	2	0
1	0	1	8	8	5
11	86	4	87	89	140
374	336	194	25	24	37
975	759	628	214	327	292
0	0	0	1	5	0
0	0	0	0	0	1
0	0	0	0	0	2
0	0	0	3	3	3
0	0	0	0	0	3
6	7	3	188	259	275
8	9	0	11	32	27
0	0	0	3	14	5
0	0	0	1	0	0
1	3	3	1	13	0
0	0	0	53	142	27
0	0	0	6	8	8
19	147	5	3	1	1
0	0	0	0	0	0
0	0	0	11	16	3
0	0	0	0	3	3
1	24	0	36	33	17
983	953	481	445	504	425
0	0	0	0	0	0
547	548	282	2685	2855	2289
3248	3077	1709	3376	4158	3449
1860	2386	1104	629	742	492
4	2	2	51	61	44
84	105	62	25	33	31
328	211	161	152	185	121
5053	4519	2714	10221	12070	11013
3124	2869	1587	1047	1204	1103
2999	2734	1511	2036	2203	1821
122	117	61	40	44	24
893	834	431	694	857	619
106	126	68	657	507	638
138	187	109	157	146	132
462	608	289	212	308	150
4	5	3	3	4	2
0	0	1	5	3	4
234	112	47	62	96	41
12	12	5	43	64	57
597	431	328	278	420	211
5	18	5	9	9	10
12	8	4	1047	1104	704
1	1	0	6	6	3
2	1	0	1	4	1
222	196	151	288	287	276
0	0	0	8	9	5
1804	1976	1157	450	823	398
18	46	0	1	1	1
0	0	0	7	19	7
0	0	0	5	3	2
1	0	1	41	126	44
0	0	0	4	0	4
585	626	263	104	146	96
447	422	268	163	254	154
0	1	0	4	3	4
446	382	229	146	159	188
26	62	21	23	16	16
857	1645	619	597	469	375
0	0	0	4	9	5
0	0	0	19	21	20
0	0	0	1	2	1
0	0	0	3	2	2
0	0	0	2	2	0
0	1	0	22	32	8
0	0	0	10	13	10
0	0	3	1	2	1
112	36	52	5915	7436	4854
505	469	494	23570	27906	16307
0	0	0	26	59	20
377	440	372	821	1347	976
0	0	0	7	1	5
1038	1072	549	1585	1353	1127
151	191	83	554	808	724
208	313	76	140	114	148
677	451	314	949	1626	1157
111	62	47	208	305	172
0	0	0	269	231	141
3	1	4	6209	8484	5664
25	33	22	4288	5448	3744
56	109	43	88	125	94
0	0	0	7	17	3
3	6	2	0	4	5
112	91	41	821	1312	1356
23	33	6	275	611	726
216	110	85	92	22	74
76	96	38	50	43	19
359	258	130	6630	8740	5963
2385	2301	1410	379	435	401
167	198	74	86	114	120
982	1033	529	468	571	521
100	75	54	142	227	139
746	842	452	372	427	385
1	1	2	0	2	1
131	132	42	21	39	32
159	153	85	3900	5005	4002
565	601	276	267	409	249
1108	1022	568	334	392	349
0	3	0	3	4	0
0	0	0	27	32	5
1224	1409	725	982	669	784
0	5	0	3	2	1
0	0	0	2	0	1
0	1	0	8	15	7
336	356	286	696	523	505
5873	5784	2778	6057	11199	6362
2	0	1	2	1	8
9	59	7	2	2	1
0	3	0	3	12	8
2577	2704	1440	2849	3261	3153
16	18	6	4724	4908	4408
808	696	362	150	169	139
692	234	295	9	25	16
2068	1994	1021	803	712	765
1	1	0	6	2	6
233	262	148	922	948	763
0	0	0	2	1	1
0	0	0	181	78	60
208	119	5	1	4	2
158	135	42	185	287	221
0	0	1	47	18	12
44	47	14	24	102	53
2305	2163	1217	1814	1530	1900
1710	2166	709	284	312	317
3278	3140	1895	1757	1579	2094
245	202	103	110	179	112
87	88	48	50	90	46
16	7	6	5	2	3
279	346	148	23	31	38
238	269	139	24	20	11
0	0	0	1050	1440	1065
28	2	15	4	7	4
2014	2236	1220	10441	8862	8407
586	445	353	454	803	596
1861	2900	771	5540	2770	4809
3912	3275	2127	744	628	631
0	0	0	0	0	0
0	0	0	0	0	0
2	0	1	0	0	0
0	5	1	2	1	0
25	29	8	0	21	5
2	1	2	27	46	19
0	1	0	2	1	1
0	0	0	0	0	0
0	0	0	9	20	9
0	0	0	2	2	1
45	58	17	98	32	19
0	0	0	1	4	0
0	0	0	2	0	0
0	0	2	2	1	3
6	9	9	20	8	9
1	5	2	82	75	65
0	0	0	7	8	9
0	0	0	0	0	0
0	10	0	1	1	1
22	0	15	1	3	0
0	0	0	2	1	0
136	148	81	49	39	53
6	0	3	2	0	0
0	0	0	10	3	7
11	3	15	32	28	7
0	0	0	5	5	2
1	0	0	1	1	1
1	0	0	0	7	1
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
8	11	5	10	17	5
3	6	3	1	1	0
771	579	608	34	11	21
1163	1258	679	455	722	467
237	253	125	258	199	197
2	2	5	1	0	0
32	118	157	1	2	3
38	42	49	3	6	5
22	57	62	14	15	21
0	0	1	1	0	1
4	3	5	1	2	1
5	2	3	21	33	11
57	36	20	40	70	40
3	5	0	2	5	8
230	74	54	10	18	26
2219	1576	614	4	11	16
28	22	3	16	14	21
1	1	0	19	25	36
2976	2600	1528	1424	2298	1661
200	136	117	33	36	17
1	0	2	16	21	10
0	0	2	30	55	45
1	2	2	18	25	28
1	3	1	20	43	20
775	725	415	166	172	107
24	57	14	5	17	10
1	1	0	37	14	23
105	104	54	46	45	36
18	13	9	4	9	0
1	2	2	2	3	0
2	1	1	11	14	7
1049	1022	643	628	780	503
0	0	0	5	8	4
762	1142	201	11	7	8
2151	1439	881	574	396	283
2	3	3	17	20	4
238	149	121	774	535	253
18	5	4	47	25	44
0	0	0	222	253	184
108	163	43	29	52	31
506	455	255	335	439	348
1113	1081	548	479	674	498
490	392	220	601	701	554
1906	1689	875	10846	12657	10623
1339	1286	655	814	1152	964
84	85	38	51	75	54
159	117	159	42	34	31
597	607	367	242	301	219
2119	2009	1058	1568	1795	1512
75	52	52	21	38	27
23	11	12	8	19	15
359	279	146	40	51	38
483	387	324	48	101	67
3962	3928	2334	77	106	81
2563	2028	1568	50	77	61
260	415	142	243	284	240
830	1097	477	218	220	180
133	173	75	45	54	63
2639	2760	1427	1960	2303	1860
2503	2133	1639	624	658	444
5	0	3	0	1	1
2	0	1	0	2	0
5	5	1	2	4	2
889	764	522	1694	1652	1542
16	76	9	2	0	1
290	238	113	78	76	60
62	72	34	171	235	234
148	114	78	49	62	48
615	523	312	282	514	274
1	0	0	0	0	1
5	26	3	1	3	5
163	182	143	63	80	89
2634	1723	1399	127	273	63
3	2	2	28	91	53
0	0	0	7	6	4
572	442	447	701	691	708
6761	5843	3599	5441	6234	5049
2392	3067	1568	971	1286	1049
3773	3425	2191	984	285	168
458	439	169	227	545	359
2429	2188	1138	2577	2863	2493
2036	2081	949	776	743	565
898	974	477	206	186	154
0	0	0	8	8	3
493	446	247	181	190	150
45	44	24	875	1197	941
1	0	0	5	12	7
128	295	23	9	3	9
0	0	0	24	38	19
3	2	3	6	1	7
12	19	4	21	51	16
2	5	1	5	0	1
47	47	41	2	2	13
100	124	90	222	320	96
428	364	212	6299	6944	5381
229	427	164	3281	4033	2344
211	265	117	45	53	143
740	1143	571	134	162	327
0	7	1	1774	2083	1351
328	302	212	107	111	93
922	867	700	129	199	181
350	356	185	163	205	134
40	32	40	45	58	66
2043	2146	1117	4657	7257	3129
252	591	116	120	59	41
0	0	0	3	8	2
209	213	132	193	188	149
0	0	0	0	1	2
720	715	305	258	252	212
336	275	172	81	91	85
1388	1259	627	76	46	54
2480	2184	961	1628	2434	2194
2347	1915	1145	3993	5683	3529
24	32	25	784	454	414
1609	1775	1183	7007	7106	5663
2150	2486	1109	156	199	135
1857	1257	1283	125	147	77
318	368	183	10	10	22
7	9	3	11	225	82
1	6	0	1	1	1
55	43	27	160	105	137
0	0	0	1	0	1
572	504	308	599	627	477
574	228	182	2371	3067	2315
2205	2562	1020	470	560	429
0	0	0	1	200	45
0	0	0	7	24	7
1003	1177	614	477	909	326
1402	1469	764	625	673	573
7	6	2	4	4	6
51	21	24	13	8	9
202	215	67	218	139	186
290	352	182	90	78	109
2079	1874	1127	879	1370	826
983	940	484	391	378	350
822	554	251	121	216	126
1505	1377	790	697	1097	697
72	50	39	67	56	46
432	296	163	185	144	115
638	366	246	169	211	165
1131	1098	649	434	391	356
66	54	61	88	118	72
0	0	0	5	1	0
0	0	3	67	67	49
2	2	1	68	64	61
0	1	0	0	3	1
1	0	0	1	0	0
17	8	4	8	10	12
5	5	1	53	76	43
328	399	198	31	23	28
0	0	0	2	1	2
3	0	5	0	1	1
823	588	383	132	78	106
4	7	0	1	10	5
48	59	20	35	46	23
182	208	82	33	67	31
1189	1197	623	903	1174	738
0	0	0	0	1	0
26	29	22	6	2	0
741	806	479	25	42	31
54	242	72	4	9	10
0	0	0	10	13	8
106	124	81	6	16	9
12	26	21	9	11	13
0	1	0	3	2	1
1	0	0	20	25	9
2	1	0	1	3	1
41	132	10	0	1	0
12	19	8	1	0	0
54	57	27	29	15	19
2657	2818	1516	499	626	583
72	51	74	1263	1944	1336
