Ovary_1	Ovary_2	Ovary_3	Testis_1	Testis_2	Testis_3
551	474	207	648	899	661
1008	1020	606	532	611	434
621	520	344	234	278	244
0	0	0	14	16	16
106	66	55	22	16	14
1693	2294	738	708	466	349
4034	4457	2706	1468	1358	1538
9	9	4	3	0	2
0	0	0	2	0	10
0	1	0	8	5	8
368	430	262	211	284	225
9	67	25	264	223	257
431	372	249	6	19	15
1581	1675	1041	434	330	196
0	0	0	1	0	0
270	315	183	180	192	147
1264	840	583	756	1012	1025
18	116	47	18	30	50
0	1	1	18	11	19
303	289	125	190	788	470
0	3	0	1	2	1
0	1	1	9	5	5
6095	6573	4131	3558	3732	3905
282	191	53	8353	10548	7548
884	896	551	1178	1368	1066
8	9	1	87	127	92
0	3	0	14	18	22
1666	1555	840	398	397	387
0	0	0	1	3	3
0	0	0	0	0	0
0	1	0	13	22	15
1	1	0	11	10	12
246	369	143	557	322	514
0	0	0	141	157	144
3	1	0	5	6	6
0	0	0	4	3	5
1	1	1	6	6	6
70	105	53	2594	1670	1756
381	326	282	254	270	258
1	2	1	34	49	21
0	0	0	0	0	0
0	0	0	43	62	55
0	0	0	5	8	0
0	0	0	4	5	0
119	124	63	22	27	29
40	29	16	1	7	3
1238	1128	594	589	783	641
759	623	292	114	117	108
31	12	15	86	154	33
15	17	9	10	10	0
0	1	0	1	1	1
0	0	0	0	0	0
666	587	329	680	874	794
0	0	0	5	15	10
1	1	0	1	7	1
508	486	387	2600	2009	2610
85	53	119	33	82	26
154	324	217	1411	2140	1633
4	4	0	6	12	5
535	634	287	1409	1106	952
5	2	2	5	4	4
2045	2056	906	923	1086	743
568	508	433	94	120	115
3	7	6	3	0	1
0	0	0	6	3	5
1575	956	894	1177	1023	1027
322	159	158	55	73	54
1	0	0	1	0	1
2315	2284	1129	349	431	424
39	25	11	42	87	56
0	0	2	1	11	2
0	0	0	4	16	2
599	534	382	327	399	566
3	0	0	5	1	0
342	400	254	373	343	362
1	0	0	216	271	148
0	1	0	2	0	1
15	13	9	7	8	5
1	1	0	1	6	0
0	0	0	1	3	0
4	3	2	69	134	60
709	663	377	171	174	167
151	230	52	147	142	97
351	418	188	460	728	600
568	646	314	117	161	187
1359	1094	741	517	773	560
1	2	0	10	3	13
1	1	1	1	5	1
95	27	33	20	39	28
2579	2958	1308	3908	4812	4147
0	1	3	27	7	10
360	291	208	284	191	111
285	322	312	415	248	216
47	31	20	199	140	217
174	40	37	15	8	8
64	70	34	310	167	322
1	2	0	6	6	2
28	23	12	19180	35806	26927
973	1047	493	288	462	312
1146	916	427	1692	1613	952
0	2	1	16	16	14
2035	2090	1285	4440	5305	4238
1	1	0	6	5	2
68	52	32	477	578	406
140	206	106	361	758	352
0	0	0	0	0	0
6	6	1	8	21	0
68	39	29	7	15	11
0	0	0	0	1	0
0	0	1	39	77	2
220	294	121	305	327	522
628	468	230	454	679	377
817	759	348	867	958	688
347	295	191	3063	3664	3729
382	562	227	89	75	75
0	0	0	0	6	3
0	0	1	14	14	8
0	0	0	3	6	1
0	0	0	2	11	1
0	0	0	8	13	5
215	191	146	199	312	333
415	478	224	839	674	876
248	292	208	99	91	117
436	519	279	81	56	165
121	204	33	92	83	94
6007	6352	3180	2152	3185	2219
0	0	0	9	5	5
7	14	5	6	10	6
38	127	20	33	18	19
2	1	0	2	8	0
0	0	0	8	26	6
9	27	18	35	581	158
529	577	393	2393	4302	2502
3111	3221	1809	5381	5144	3515
16	7	4	1	14	4
725	751	466	89	95	93
649	756	492	164	180	175
4192	5387	2757	1267	1346	1070
1	0	0	0	0	0
9	8	4	3	7	5
0	0	0	0	0	1
1	20	4	0	0	1
502	1008	354	20	25	24
0	0	0	9	9	1
0	0	0	1	0	0
2575	2646	1398	1146	1180	958
656	715	317	413	419	426
986	834	527	271	374	383
1	1	2	13	9	10
1	1	0	3	2	1
0	0	0	0	0	0
1	0	0	1	2	3
2	2	0	0	2	3
202	124	101	105	78	107
0	0	0	5	1	4
0	0	0	0	0	0
1	0	0	0	1	0
265	578	187	55	52	47
